Index   V(VIN_COMMON)         V(VQ)            V(VQB)      
0        0.00000000e+00    4.99995565e-01    4.99997518e-01
1        2.00000000e-03    4.99995355e-01    4.99997530e-01
2        4.00000000e-03    4.99995131e-01    4.99997542e-01
3        6.00000000e-03    4.99994892e-01    4.99997553e-01
4        8.00000000e-03    4.99994638e-01    4.99997565e-01
5        1.00000000e-02    4.99994367e-01    4.99997576e-01
6        1.20000000e-02    4.99994079e-01    4.99997587e-01
7        1.40000000e-02    4.99993771e-01    4.99997598e-01
8        1.60000000e-02    4.99993443e-01    4.99997609e-01
9        1.80000000e-02    4.99993093e-01    4.99997619e-01
10       2.00000000e-02    4.99992720e-01    4.99997630e-01
11       2.20000000e-02    4.99992322e-01    4.99997640e-01
12       2.40000000e-02    4.99991897e-01    4.99997650e-01
13       2.60000000e-02    4.99991443e-01    4.99997660e-01
14       2.80000000e-02    4.99990958e-01    4.99997670e-01
15       3.00000000e-02    4.99990441e-01    4.99997680e-01
16       3.20000000e-02    4.99989888e-01    4.99997689e-01
17       3.40000000e-02    4.99989298e-01    4.99997699e-01
18       3.60000000e-02    4.99988666e-01    4.99997708e-01
19       3.80000000e-02    4.99987991e-01    4.99997717e-01
20       4.00000000e-02    4.99987269e-01    4.99997726e-01
21       4.20000000e-02    4.99986497e-01    4.99997734e-01
22       4.40000000e-02    4.99985670e-01    4.99997743e-01
23       4.60000000e-02    4.99984785e-01    4.99997751e-01
24       4.80000000e-02    4.99983838e-01    4.99997759e-01
25       5.00000000e-02    4.99982823e-01    4.99997767e-01
26       5.20000000e-02    4.99981736e-01    4.99997774e-01
27       5.40000000e-02    4.99980571e-01    4.99997782e-01
28       5.60000000e-02    4.99979322e-01    4.99997789e-01
29       5.80000000e-02    4.99977982e-01    4.99997795e-01
30       6.00000000e-02    4.99976545e-01    4.99997802e-01
31       6.20000000e-02    4.99975002e-01    4.99997808e-01
32       6.40000000e-02    4.99973346e-01    4.99997813e-01
33       6.60000000e-02    4.99971568e-01    4.99997819e-01
