V(VIN_COMMON),V(VQ),V(VQB),V(WWLB_NET)
0.00000000e+00,4.99995565e-01,4.99997543e-01,3.00000000e-01
5.00000000e-03,4.99995014e-01,4.99997574e-01,3.00000000e-01
1.00000000e-02,4.99994367e-01,4.99997604e-01,3.00000000e-01
1.50000000e-02,4.99993610e-01,4.99997633e-01,3.00000000e-01
2.00000000e-02,4.99992720e-01,4.99997662e-01,3.00000000e-01
2.50000000e-02,4.99991673e-01,4.99997690e-01,3.00000000e-01
3.00000000e-02,4.99990441e-01,4.99997717e-01,3.00000000e-01
3.50000000e-02,4.99988987e-01,4.99997744e-01,3.00000000e-01
4.00000000e-02,4.99987269e-01,4.99997770e-01,3.00000000e-01
4.50000000e-02,4.99985235e-01,4.99997796e-01,3.00000000e-01
5.00000000e-02,4.99982823e-01,4.99997821e-01,3.00000000e-01
5.50000000e-02,4.99979957e-01,4.99997845e-01,3.00000000e-01
6.00000000e-02,4.99976545e-01,4.99997869e-01,3.00000000e-01
6.50000000e-02,4.99972473e-01,4.99997892e-01,3.00000000e-01
7.00000000e-02,4.99967604e-01,4.99997915e-01,3.00000000e-01
7.50000000e-02,4.99961771e-01,4.99997935e-01,3.00000000e-01
8.00000000e-02,4.99954764e-01,4.99997954e-01,3.00000000e-01
8.50000000e-02,4.99946331e-01,4.99997971e-01,3.00000000e-01
9.00000000e-02,4.99936156e-01,4.99997985e-01,3.00000000e-01
9.50000000e-02,4.99923852e-01,4.99997996e-01,3.00000000e-01
1.00000000e-01,4.99908936e-01,4.99998001e-01,3.00000000e-01
1.05000000e-01,4.99890812e-01,4.99998001e-01,3.00000000e-01
1.10000000e-01,4.99868736e-01,4.99997992e-01,3.00000000e-01
1.15000000e-01,4.99841783e-01,4.99997974e-01,3.00000000e-01
1.20000000e-01,4.99808795e-01,4.99997943e-01,3.00000000e-01
1.25000000e-01,4.99768325e-01,4.99997896e-01,3.00000000e-01
1.30000000e-01,4.99718555e-01,4.99997827e-01,3.00000000e-01
1.35000000e-01,4.99657202e-01,4.99997732e-01,3.00000000e-01
1.40000000e-01,4.99581390e-01,4.99997599e-01,3.00000000e-01
1.45000000e-01,4.99487484e-01,4.99997416e-01,3.00000000e-01
1.50000000e-01,4.99370883e-01,4.99997164e-01,3.00000000e-01
1.55000000e-01,4.99225745e-01,4.99996814e-01,3.00000000e-01
1.60000000e-01,4.99044624e-01,4.99996325e-01,3.00000000e-01
