Index       TIME              V(WL)            V(WWLA)           V(WWLB)            V(BL)             V(Q)              V(QB)      
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    6.00000000e-01    6.00000000e-01    6.00000000e-01    0.00000000e+00
1        1.00000000e-11    0.00000000e+00    0.00000000e+00    6.00000000e-01    6.00000000e-01    5.99998512e-01    1.96073119e-06
2        3.00000000e-11    0.00000000e+00    0.00000000e+00    6.00000000e-01    6.00000000e-01    5.99996574e-01    3.70190088e-06
3        7.00000000e-11    0.00000000e+00    0.00000000e+00    6.00000000e-01    6.00000000e-01    5.99994090e-01    5.26944611e-06
4        1.50000000e-10    0.00000000e+00    0.00000000e+00    6.00000000e-01    6.00000000e-01    5.99993161e-01    5.11635990e-06
5        3.10000000e-10    0.00000000e+00    0.00000000e+00    6.00000000e-01    6.00000000e-01    5.99993321e-01    5.23368651e-06
6        6.30000000e-10    0.00000000e+00    0.00000000e+00    6.00000000e-01    6.00000000e-01    5.99993233e-01    5.14262765e-06
7        1.27000000e-09    0.00000000e+00    0.00000000e+00    6.00000000e-01    6.00000000e-01    5.99993300e-01    5.22264290e-06
8        2.55000000e-09    0.00000000e+00    0.00000000e+00    6.00000000e-01    6.00000000e-01    5.99993242e-01    5.14765505e-06
9        5.11000000e-09    0.00000000e+00    0.00000000e+00    6.00000000e-01    6.00000000e-01    5.99993296e-01    5.22026335e-06
10       9.11000000e-09    0.00000000e+00    0.00000000e+00    6.00000000e-01    6.00000000e-01    5.99993243e-01    5.14894616e-06
11       1.00000000e-08    0.00000000e+00    0.00000000e+00    6.00000000e-01    6.00000000e-01    5.99993292e-01    5.21764508e-06
12       1.00002500e-08    1.50000000e-02    0.00000000e+00    6.00000000e-01    6.00000000e-01    6.00228639e-01    2.33467657e-05
13       1.00004350e-08    2.61014125e-02    0.00000000e+00    6.00000000e-01    6.00000000e-01    6.00448740e-01    4.13006002e-05
14       1.00006200e-08    3.72028249e-02    0.00000000e+00    6.00000000e-01    6.00000000e-01    6.00680880e-01    6.07547208e-05
15       1.00009901e-08    5.94056498e-02    0.00000000e+00    6.00000000e-01    6.00000000e-01    6.01167070e-01    1.04673123e-04
16       1.00017302e-08    1.03811300e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    6.02120916e-01    1.99152039e-04
17       1.00024703e-08    1.48216950e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    6.03052507e-01    2.95471840e-04
18       1.00039505e-08    2.37028249e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    6.04880610e-01    4.78194787e-04
19       1.00069108e-08    4.14650849e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    6.08521338e-01    7.94936837e-04
20       1.00100000e-08    6.00000000e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    6.12621130e-01    1.08949444e-03
21       1.00105921e-08    6.00000000e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    6.12508557e-01    1.05917700e-03
22       1.00110478e-08    6.00000000e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    6.12322527e-01    1.02130846e-03
23       1.00115036e-08    6.00000000e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    6.12125088e-01    9.78207221e-04
24       1.00119593e-08    6.00000000e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    6.11928678e-01    9.33606402e-04
25       1.00128708e-08    6.00000000e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    6.11553156e-01    8.41258201e-04
26       1.00146938e-08    6.00000000e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    6.10857078e-01    6.66295548e-04
27       1.00183398e-08    6.00000000e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    6.09601784e-01    3.82522100e-04
28       1.00256317e-08    6.00000000e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    6.07518067e-01    2.67719754e-05
29       1.00402156e-08    6.00000000e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    6.04599849e-01   -2.29719775e-04
30       1.00693834e-08    6.00000000e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    6.01638986e-01   -1.80321157e-04
31       1.01277190e-08    6.00000000e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    6.00049730e-01    1.11989507e-07
32       1.01860547e-08    6.00000000e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    5.99995627e-01    4.54015495e-06
33       1.03027259e-08    6.00000000e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    5.99992719e-01    5.50845755e-06
34       1.04193971e-08    6.00000000e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    5.99993821e-01    5.00623949e-06
35       1.06527395e-08    6.00000000e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    5.99993193e-01    5.32058196e-06
36       1.11194244e-08    6.00000000e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    5.99993729e-01    5.06457076e-06
37       1.20527942e-08    6.00000000e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    5.99993223e-01    5.29671267e-06
38       1.39195338e-08    6.00000000e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    5.99993717e-01    5.07544306e-06
39       1.76530129e-08    6.00000000e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    5.99993229e-01    5.29153914e-06
40       2.00000000e-08    6.00000000e-01    0.00000000e+00    6.00000000e-01    6.00000000e-01    5.99993712e-01    5.07979527e-06
41       2.00006250e-08    6.00000000e-01    3.75000000e-03    6.00000000e-01    5.96250000e-01    6.00142214e-01    4.42553374e-05
42       2.00018750e-08    6.00000000e-01    1.12500000e-02    6.00000000e-01    5.88750000e-01    6.00505240e-01    1.04987218e-04
43       2.00031250e-08    6.00000000e-01    1.87500000e-02    6.00000000e-01    5.81250000e-01    6.00874008e-01    1.55098327e-04
44       2.00056250e-08    6.00000000e-01    3.37500000e-02    6.00000000e-01    5.66250000e-01    6.01593360e-01    2.17745120e-04
45       2.00106250e-08    6.00000000e-01    6.37500000e-02    6.00000000e-01    5.36250000e-01    6.02868869e-01    2.88081407e-04
46       2.00206250e-08    6.00000000e-01    1.23750000e-01    6.00000000e-01    4.76250000e-01    6.04914828e-01    3.21412159e-04
47       2.00406250e-08    6.00000000e-01    2.43750000e-01    6.00000000e-01    3.56250000e-01    6.07730902e-01    2.11285202e-04
48       2.00606250e-08    6.00000000e-01    3.63750000e-01    6.00000000e-01    2.36250000e-01    6.04490719e-01   -1.67316508e-04
49       2.00668543e-08    6.00000000e-01    4.01125920e-01    6.00000000e-01    1.98874080e-01    5.96265593e-01   -6.74561996e-04
50       2.00697353e-08    6.00000000e-01    4.18411500e-01    6.00000000e-01    1.81588500e-01    5.90460965e-01   -1.03418928e-03
51       2.00726162e-08    6.00000000e-01    4.35697080e-01    6.00000000e-01    1.64302920e-01    5.83340574e-01   -1.47877278e-03
52       2.00783780e-08    6.00000000e-01    4.70268241e-01    6.00000000e-01    1.29731759e-01    5.59122877e-01   -2.99643458e-03
53       2.00833250e-08    6.00000000e-01    4.99950207e-01    6.00000000e-01    1.00049793e-01    5.24986128e-01   -5.12125942e-03
54       2.00877047e-08    6.00000000e-01    5.26228221e-01    6.00000000e-01    7.37717793e-02    4.82142595e-01   -7.77545172e-03
55       2.00916464e-08    6.00000000e-01    5.49878433e-01    6.00000000e-01    5.01215674e-02    4.32182694e-01   -1.08200827e-02
56       2.00955881e-08    6.00000000e-01    5.73528644e-01    6.00000000e-01    2.64713555e-02    3.70616960e-01   -1.43129877e-02
57       2.00995298e-08    6.00000000e-01    5.97178856e-01    6.00000000e-01    2.82114361e-03    2.97694492e-01   -1.76396841e-02
58       2.01000000e-08    6.00000000e-01    6.00000000e-01    6.00000000e-01    0.00000000e+00    2.88292066e-01   -1.79885889e-02
59       2.01002001e-08    6.00000000e-01    6.00000000e-01    6.00000000e-01    0.00000000e+00    2.84238060e-01   -1.81305622e-02
60       2.01003736e-08    6.00000000e-01    6.00000000e-01    6.00000000e-01    0.00000000e+00    2.80723604e-01   -1.82489965e-02
61       2.01007206e-08    6.00000000e-01    6.00000000e-01    6.00000000e-01    0.00000000e+00    2.73710008e-01   -1.84727636e-02
62       2.01014145e-08    6.00000000e-01    6.00000000e-01    6.00000000e-01    0.00000000e+00    2.59822363e-01   -1.88230710e-02
63       2.01028024e-08    6.00000000e-01    6.00000000e-01    6.00000000e-01    0.00000000e+00    2.32779125e-01   -1.90443059e-02
64       2.01041903e-08    6.00000000e-01    6.00000000e-01    6.00000000e-01    0.00000000e+00    2.06912267e-01   -1.84982788e-02
65       2.01055782e-08    6.00000000e-01    6.00000000e-01    6.00000000e-01    0.00000000e+00    1.82564813e-01   -1.70262229e-02
66       2.01069660e-08    6.00000000e-01    6.00000000e-01    6.00000000e-01    0.00000000e+00    1.60140779e-01   -1.45235618e-02
67       2.01083539e-08    6.00000000e-01    6.00000000e-01    6.00000000e-01    0.00000000e+00    1.40016930e-01   -1.09581174e-02
68       2.01097418e-08    6.00000000e-01    6.00000000e-01    6.00000000e-01    0.00000000e+00    1.22424750e-01   -6.36664372e-03
69       2.01111297e-08    6.00000000e-01    6.00000000e-01    6.00000000e-01    0.00000000e+00    1.07391236e-01   -8.34580371e-04
70       2.01125176e-08    6.00000000e-01    6.00000000e-01    6.00000000e-01    0.00000000e+00    9.47387006e-02    5.52628983e-03
71       2.01139054e-08    6.00000000e-01    6.00000000e-01    6.00000000e-01    0.00000000e+00    8.40870127e-02    1.26080400e-02
72       2.01152933e-08    6.00000000e-01    6.00000000e-01    6.00000000e-01    0.00000000e+00    7.47169877e-02    2.03680853e-02
73       2.01166812e-08    6.00000000e-01    6.00000000e-01    6.00000000e-01    0.00000000e+00    6.56993365e-02    2.88753024e-02
