Index       TIME             V(Q7_3)          V(QB7_3)          V(VX7_3)           V(WL7)            V(WWLA)           V(WWLB)           V(SEL0)           V(SEL1)           V(BL3)           V(SA_IN1)          V(SAE)           V(SA_Q1)          V(SA_QB1)          V(Q7_3)           V(BL3)           V(SA_Q1)     
0        0.00000000e+00    0.00000000e+00    6.00000000e-01    6.00000000e-01    4.52177788e-06    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.00000000e-01    0.00000000e+00    5.99999634e-01    4.99999061e-01    0.00000000e+00    0.00000000e+00    5.99999634e-01
1        1.00000000e-11    4.96027036e-06    5.99999728e-01    5.99985111e-01    1.78098370e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.14313199e-03    5.99997421e-01    0.00000000e+00    5.99998311e-01    4.99998929e-01    4.96027036e-06    5.14313199e-03    5.99998311e-01
2        2.00000000e-11    5.93420229e-06    5.99999404e-01    5.99969393e-01    2.69154553e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    9.55522310e-03    5.99994947e-01    0.00000000e+00    5.99996051e-01    4.99998804e-01    5.93420229e-06    9.55522310e-03    5.99996051e-01
3        3.00000000e-11    5.58508721e-06    5.99999140e-01    5.99953411e-01    3.20810052e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    1.35968544e-02    5.99992522e-01    0.00000000e+00    5.99993639e-01    4.99998732e-01    5.58508721e-06    1.35968544e-02    5.99993639e-01
4        4.00000000e-11    5.26519498e-06    5.99999038e-01    5.99937461e-01    3.57105236e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    1.79852174e-02    5.99990436e-01    0.00000000e+00    5.99991463e-01    4.99998723e-01    5.26519498e-06    1.79852174e-02    5.99991463e-01
5        5.00000000e-11    4.95504371e-06    5.99998989e-01    5.99921522e-01    3.88280315e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    2.24891576e-02    5.99988464e-01    0.00000000e+00    5.99989366e-01    4.99998735e-01    4.95504371e-06    2.24891576e-02    5.99989366e-01
6        6.00000000e-11    4.64489243e-06    5.99998941e-01    5.99905582e-01    4.19455393e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    2.69930979e-02    5.99986492e-01    0.00000000e+00    5.99987269e-01    4.99998747e-01    4.64489243e-06    2.69930979e-02    5.99987269e-01
7        7.00000000e-11    5.87623719e-06    5.99998979e-01    5.99889976e-01    5.31291315e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    3.54327603e-02    5.99985192e-01    0.00000000e+00    5.99985757e-01    4.99998784e-01    5.87623719e-06    3.54327603e-02    5.99985757e-01
8        8.00000000e-11    8.36880598e-06    5.99999087e-01    5.99874641e-01    7.09122472e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    4.70925590e-02    5.99984442e-01    0.00000000e+00    5.99984724e-01    4.99998843e-01    8.36880598e-06    4.70925590e-02    5.99984724e-01
9        9.00000000e-11    1.08613748e-05    5.99999196e-01    5.99859307e-01    8.86953630e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.87523577e-02    5.99983691e-01    0.00000000e+00    5.99983691e-01    4.99998901e-01    1.08613748e-05    5.87523577e-02    5.99983691e-01
