Index       V(NQ)            V(NQB)      
0        1.53115768e-01    4.53115768e-01
1        1.53900931e-01    4.51900931e-01
2        1.54690485e-01    4.50690485e-01
3        1.55484276e-01    4.49484276e-01
4        1.56282153e-01    4.48282153e-01
5        1.57083967e-01    4.47083967e-01
6        1.57889574e-01    4.45889574e-01
7        1.58698831e-01    4.44698831e-01
8        1.59511601e-01    4.43511601e-01
9        1.60327752e-01    4.42327752e-01
10       1.61147153e-01    4.41147153e-01
11       1.61969681e-01    4.39969681e-01
12       1.62795217e-01    4.38795217e-01
13       1.63623646e-01    4.37623646e-01
14       1.64454857e-01    4.36454857e-01
15       1.65288746e-01    4.35288746e-01
16       1.66125213e-01    4.34125213e-01
17       1.66964162e-01    4.32964162e-01
18       1.67805501e-01    4.31805501e-01
19       1.68649145e-01    4.30649145e-01
20       1.69495010e-01    4.29495010e-01
21       1.70343021e-01    4.28343021e-01
22       1.71193102e-01    4.27193102e-01
23       1.72045185e-01    4.26045185e-01
24       1.72899203e-01    4.24899203e-01
25       1.73755095e-01    4.23755095e-01
26       1.74612802e-01    4.22612802e-01
27       1.75472270e-01    4.21472270e-01
28       1.76333446e-01    4.20333446e-01
29       1.77196282e-01    4.19196282e-01
30       1.78060733e-01    4.18060733e-01
31       1.78926756e-01    4.16926756e-01
32       1.79794311e-01    4.15794311e-01
33       1.80663362e-01    4.14663362e-01
34       1.81533873e-01    4.13533873e-01
35       1.82405812e-01    4.12405812e-01
36       1.83279149e-01    4.11279149e-01
37       1.84153856e-01    4.10153856e-01
38       1.85029908e-01    4.09029908e-01
39       1.85907281e-01    4.07907281e-01
40       1.86785952e-01    4.06785952e-01
41       1.87665903e-01    4.05665903e-01
42       1.88547113e-01    4.04547113e-01
43       1.89429568e-01    4.03429568e-01
44       1.90313251e-01    4.02313251e-01
45       1.91198149e-01    4.01198149e-01
46       1.92084250e-01    4.00084250e-01
47       1.92971543e-01    3.98971543e-01
48       1.93860020e-01    3.97860020e-01
49       1.94749670e-01    3.96749670e-01
50       1.95640489e-01    3.95640489e-01
51       1.96532470e-01    3.94532470e-01
52       1.97425609e-01    3.93425609e-01
53       1.98319903e-01    3.92319903e-01
54       1.99215348e-01    3.91215348e-01
55       2.00111944e-01    3.90111944e-01
56       2.01009691e-01    3.89009691e-01
57       2.01908590e-01    3.87908590e-01
58       2.02808641e-01    3.86808641e-01
59       2.03709848e-01    3.85709848e-01
60       2.04612215e-01    3.84612215e-01
61       2.05515745e-01    3.83515745e-01
62       2.06420445e-01    3.82420445e-01
63       2.07326319e-01    3.81326319e-01
64       2.08233376e-01    3.80233376e-01
65       2.09141622e-01    3.79141622e-01
66       2.10051067e-01    3.78051067e-01
67       2.10961719e-01    3.76961719e-01
68       2.11873588e-01    3.75873588e-01
69       2.12786685e-01    3.74786685e-01
70       2.13701021e-01    3.73701021e-01
71       2.14616607e-01    3.72616607e-01
72       2.15533457e-01    3.71533457e-01
73       2.16451583e-01    3.70451583e-01
74       2.17370999e-01    3.69370999e-01
75       2.18291718e-01    3.68291718e-01
76       2.19213756e-01    3.67213756e-01
77       2.20137126e-01    3.66137126e-01
78       2.21061844e-01    3.65061844e-01
79       2.21987925e-01    3.63987925e-01
80       2.22915384e-01    3.62915384e-01
81       2.23844239e-01    3.61844239e-01
82       2.24774503e-01    3.60774503e-01
83       2.25706194e-01    3.59706194e-01
84       2.26639327e-01    3.58639327e-01
85       2.27573916e-01    3.57573916e-01
86       2.28509979e-01    3.56509979e-01
87       2.29447528e-01    3.55447528e-01
88       2.30386580e-01    3.54386580e-01
89       2.31327147e-01    3.53327147e-01
90       2.32269242e-01    3.52269242e-01
91       2.33212878e-01    3.51212878e-01
92       2.34158065e-01    3.50158065e-01
93       2.35104814e-01    3.49104814e-01
94       2.36053125e-01    3.48053125e-01
95       2.37002944e-01    3.47002944e-01
96       2.37954261e-01    3.45954261e-01
97       2.38907080e-01    3.44907080e-01
98       2.39861402e-01    3.43861402e-01
99       2.40817227e-01    3.42817227e-01
100      2.41774552e-01    3.41774552e-01
101      2.42733372e-01    3.40733372e-01
102      2.43693677e-01    3.39693677e-01
103      2.44655456e-01    3.38655456e-01
104      2.45618696e-01    3.37618696e-01
105      2.46583377e-01    3.36583377e-01
106      2.47549478e-01    3.35549478e-01
107      2.48516975e-01    3.34516975e-01
108      2.49485837e-01    3.33485837e-01
109      2.50456032e-01    3.32456032e-01
110      2.51427523e-01    3.31427523e-01
111      2.52400283e-01    3.30400283e-01
112      2.53374286e-01    3.29374286e-01
113      2.54349482e-01    3.28349482e-01
114      2.55325815e-01    3.27325815e-01
115      2.56303228e-01    3.26303228e-01
116      2.57281656e-01    3.25281656e-01
117      2.58261032e-01    3.24261032e-01
118      2.59241283e-01    3.23241283e-01
119      2.60222335e-01    3.22222335e-01
120      2.61204110e-01    3.21204110e-01
121      2.62186523e-01    3.20186523e-01
122      2.63169491e-01    3.19169491e-01
123      2.64152926e-01    3.18152926e-01
124      2.65136737e-01    3.17136737e-01
125      2.66120833e-01    3.16120833e-01
126      2.67105119e-01    3.15105119e-01
127      2.68089501e-01    3.14089501e-01
128      2.69073885e-01    3.13073885e-01
129      2.70058175e-01    3.12058175e-01
130      2.71042276e-01    3.11042276e-01
131      2.72026095e-01    3.10026095e-01
132      2.73009539e-01    3.09009539e-01
133      2.73992518e-01    3.07992518e-01
134      2.74974944e-01    3.06974944e-01
135      2.75956731e-01    3.05956731e-01
136      2.76937797e-01    3.04937797e-01
137      2.77918063e-01    3.03918063e-01
138      2.78897456e-01    3.02897456e-01
139      2.79875903e-01    3.01875903e-01
140      2.80853341e-01    3.00853341e-01
141      2.81829707e-01    2.99829707e-01
142      2.82804945e-01    2.98804945e-01
143      2.83779005e-01    2.97779005e-01
144      2.84751840e-01    2.96751840e-01
145      2.85723411e-01    2.95723411e-01
146      2.86693682e-01    2.94693682e-01
147      2.87662623e-01    2.93662623e-01
148      2.88630210e-01    2.92630210e-01
149      2.89596424e-01    2.91596424e-01
150      2.90561250e-01    2.90561250e-01
151      2.91524679e-01    2.89524679e-01
152      2.92486707e-01    2.88486707e-01
153      2.93447334e-01    2.87447334e-01
154      2.94406565e-01    2.86406565e-01
155      2.95364408e-01    2.85364408e-01
156      2.96320875e-01    2.84320875e-01
157      2.97275983e-01    2.83275983e-01
158      2.98229752e-01    2.82229752e-01
159      2.99182203e-01    2.81182203e-01
160      3.00133361e-01    2.80133361e-01
161      3.01083256e-01    2.79083256e-01
162      3.02031915e-01    2.78031915e-01
163      3.02979372e-01    2.76979372e-01
164      3.03925658e-01    2.75925658e-01
165      3.04870809e-01    2.74870809e-01
166      3.05814860e-01    2.73814860e-01
167      3.06757847e-01    2.72757847e-01
168      3.07699804e-01    2.71699804e-01
169      3.08640770e-01    2.70640770e-01
170      3.09580780e-01    2.69580780e-01
171      3.10519871e-01    2.68519871e-01
172      3.11458079e-01    2.67458079e-01
173      3.12395441e-01    2.66395441e-01
174      3.13331990e-01    2.65331990e-01
175      3.14267761e-01    2.64267761e-01
176      3.15202785e-01    2.63202785e-01
177      3.16137095e-01    2.62137095e-01
178      3.17070720e-01    2.61070720e-01
179      3.18003689e-01    2.60003689e-01
180      3.18936029e-01    2.58936029e-01
181      3.19867765e-01    2.57867765e-01
182      3.20798920e-01    2.56798920e-01
183      3.21729517e-01    2.55729517e-01
184      3.22659576e-01    2.54659576e-01
185      3.23589114e-01    2.53589114e-01
186      3.24518150e-01    2.52518150e-01
187      3.25446696e-01    2.51446696e-01
188      3.26374766e-01    2.50374766e-01
189      3.27302372e-01    2.49302372e-01
190      3.28229523e-01    2.48229523e-01
191      3.29156227e-01    2.47156227e-01
192      3.30082489e-01    2.46082489e-01
193      3.31008315e-01    2.45008315e-01
194      3.31933706e-01    2.43933706e-01
195      3.32858666e-01    2.42858666e-01
196      3.33783192e-01    2.41783192e-01
197      3.34707285e-01    2.40707285e-01
198      3.35630940e-01    2.39630940e-01
199      3.36554154e-01    2.38554154e-01
200      3.37476921e-01    2.37476921e-01
201      3.38399235e-01    2.36399235e-01
202      3.39321087e-01    2.35321087e-01
203      3.40242469e-01    2.34242469e-01
204      3.41163371e-01    2.33163371e-01
205      3.42083782e-01    2.32083782e-01
206      3.43003690e-01    2.31003690e-01
207      3.43923083e-01    2.29923083e-01
208      3.44841946e-01    2.28841946e-01
209      3.45760265e-01    2.27760265e-01
210      3.46678026e-01    2.26678026e-01
211      3.47595213e-01    2.25595213e-01
212      3.48511808e-01    2.24511808e-01
213      3.49427814e-01    2.23427814e-01
214      3.50343229e-01    2.22343229e-01
215      3.51258034e-01    2.21258034e-01
216      3.52172211e-01    2.20172211e-01
217      3.53085741e-01    2.19085741e-01
218      3.53998604e-01    2.17998604e-01
219      3.54910779e-01    2.16910779e-01
220      3.55822246e-01    2.15822246e-01
221      3.56732983e-01    2.14732983e-01
222      3.57642969e-01    2.13642969e-01
223      3.58552180e-01    2.12552180e-01
224      3.59460594e-01    2.11460594e-01
225      3.60368188e-01    2.10368188e-01
226      3.61274937e-01    2.09274937e-01
227      3.62180818e-01    2.08180818e-01
228      3.63085804e-01    2.07085804e-01
229      3.63989871e-01    2.05989871e-01
230      3.64892993e-01    2.04892993e-01
